"Theta [deg]","dB(GainTotal) [] - Freq='0.1375GHz' Phi='0deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='5deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='10deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='15deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='20deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='25deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='30deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='35deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='40deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='45deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='50deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='55deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='60deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='65deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='70deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='75deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='80deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='85deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='90deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='95deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='100deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='105deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='110deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='115deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='120deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='125deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='130deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='135deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='140deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='145deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='150deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='155deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='160deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='165deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='170deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='175deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='180deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='185deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='190deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='195deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='200deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='205deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='210deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='215deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='220deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='225deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='230deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='235deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='240deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='245deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='250deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='255deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='260deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='265deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='270deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='275deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='280deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='285deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='290deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='295deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='300deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='305deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='310deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='315deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='320deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='325deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='330deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='335deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='340deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='345deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='350deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='355deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='360deg'"
-180,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.688163960181,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.688163960181,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.688163960181,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809,-13.6881639601809
-179,-14.4963402344228,-14.4924294889952,-14.4814217201228,-14.4637963322555,-14.4402529919721,-14.4116763869774,-14.3790943522173,-14.3436326220258,-14.3064693003778,-14.2687916564955,-14.2317571786181,-14.1964600858839,-14.1639038148777,-14.1349794347815,-14.1104495367468,-14.0909368918444,-14.076917060435,-14.0687141371392,-14.0664989013721,-14.0702887886372,-14.0799492827794,-14.0951965393963,-14.1156012738457,-14.1405941722483,-14.1694732964319,-14.2014141346187,-14.2354830730039,-14.2706550973059,-14.3058364429117,-14.3398926657928,-14.3716821852045,-14.4000947593529,-14.4240936385319,-14.4427593804758,-14.4553326316929,-14.461252718833,-14.4601887882522,-14.4520605649599,-14.4370465788887,-14.415578836663,-14.3883242275419,-14.3561542252586,-14.3201054741534,-14.2813344784964,-14.2410697882815,-14.2005648259973,-14.1610539310867,-14.1237134517414,-14.0896289266821,-14.0597686850501,-14.0349636231824,-14.0158925255818,-14.0030720845014,-13.9968507180313,-13.9974053598587,-14.0047405619805,-14.0186894835076,-14.0389166066671,-14.0649223001598,-14.0960496158086,-14.1314939310376,-14.1703162080599,-14.211460698452,-14.2537778459321,-14.2960529020511,-14.3370403536675,-14.3755036756194,-14.4102592088315,-14.4402222045457,-14.4644523867773,-14.482195904916,-14.4929204057191,-14.4963402344228
-178,-17.3297136188632,-17.2925081500501,-17.2133724296011,-17.097547220818,-16.951940795382,-16.784334328515,-16.6026520497499,-16.4143988065905,-16.226298657573,-16.0441162999402,-15.8726171677746,-15.7156173406021,-15.5760818321068,-15.4562414581443,-15.3577095414143,-15.2815881941861,-15.2285595180812,-15.1989602236081,-15.1928395614502,-15.2100006840884,-15.2500251087986,-15.3122792065689,-15.3959008983663,-15.4997642774477,-15.6224199934103,-15.762010298056,-15.9161601381732,-16.0818501675004,-16.2552846349273,-16.4317770975343,-16.6056891858696,-16.7704696353405,-16.9188468458639,-17.0432195091809,-17.1362570515313,-17.1916619950178,-17.2049727207934,-17.1742292795035,-17.1003248670247,-16.9869385289201,-16.8400660399138,-16.6672792126546,-16.4768981572104,-16.2772433376277,-16.0760701396457,-15.8802166546755,-15.6954426308212,-15.5264119363273,-15.3767669591856,-15.2492514245045,-15.1458500563334,-15.0679246363114,-15.0163344553469,-14.9915347345249,-14.9936498524889,-15.0225198740553,-15.0777195709791,-15.1585493684553,-15.2639978405581,-15.392675870076,-15.5427237661244,-15.7116949689032,-15.8964240465461,-16.0928931105034,-16.2961198829719,-16.5001018950727,-16.6978622589752,-16.8816478095468,-17.0433218056489,-17.1749620214739,-17.2696182321182,-17.3221127552974,-17.3297136188632
-177,-24.9253758138422,-24.5348713806727,-23.8923205738028,-23.1206986151774,-22.3159968469226,-21.5370730457644,-20.8143852005969,-20.1610586115877,-19.5808389341841,-19.0728270015387,-18.6340579301705,-18.2608273686527,-17.9493331073927,-17.6959565386689,-17.4973639570846,-17.3505277838034,-17.2527242522334,-17.2015397677469,-17.1949035451497,-17.2311541296858,-17.3091393803219,-17.4283422727048,-17.5890182443406,-17.792324032954,-18.0404132033901,-18.3364689595092,-18.6846373911171,-19.0898074899494,-19.5571462280728,-20.0912180068523,-20.6943683270072,-21.3638008178125,-22.0864537613606,-22.830719594994,-23.535540422405,-24.1033135011426,-24.4137955996836,-24.3744813964238,-23.9802522196705,-23.3178686676089,-22.5096781415373,-21.6594666273724,-20.8345963626818,-20.0716726513821,-19.387461196886,-18.7874965380843,-18.2714471092617,-17.8361479189259,-17.4772424672555,-17.1900584747002,-16.9700787390518,-16.8132046636614,-16.7159170996521,-16.6753878481809,-16.6895667592,-16.7572534415685,-16.8781536945351,-17.0529159227103,-17.2831400310302,-17.5713486415292,-17.920905226148,-18.3358516728933,-18.8206118408317,-19.3794556328544,-20.0155191985974,-20.7289993026377,-21.5138542259851,-22.3520086110605,-23.2041483677518,-23.9983901419202,-24.6256306139709,-24.9614858046725,-24.9253758138422
-176,-25.122187526872,-24.6270672749375,-24.0264685609102,-23.4021373202442,-22.8059162598776,-22.2647738423887,-21.7894662777205,-21.3815924569861,-21.0382346951244,-20.7547100372805,-20.5260433540087,-20.3475937056379,-20.2151159016841,-20.1244598937636,-20.0710790640344,-20.0495110652307,-20.0529985529987,-20.0734220249748,-20.1017039224094,-20.1287786053651,-20.1470749196278,-20.1522389049902,-20.1446288049373,-20.1300918555662,-20.1197623803606,-20.1290029938533,-20.1759167099245,-20.2799224279374,-20.4607279859536,-20.7377888720936,-21.1301133007331,-21.6560576471135,-22.3324014645615,-23.1711440102348,-24.1703917865315,-25.2914401700305,-26.4105770737808,-27.259130474429,-27.479387567385,-26.9313218592888,-25.8617540855204,-24.621449766378,-23.4285707382457,-22.3724778879168,-21.4763883893509,-20.7367967220923,-20.1410206613863,-19.6740503798385,-19.3209646521538,-19.0676359833142,-18.9008424112721,-18.8082523604259,-18.7784866779134,-18.8013440088053,-18.868201732739,-18.9725388925034,-19.1104683894266,-19.2811310720874,-19.486814054624,-19.7327113252032,-20.0263195396912,-20.3765103616942,-20.7923018830199,-21.2812451506612,-21.8471474044736,-22.4865967786419,-23.1835620770234,-23.9017132538614,-24.5763860882409,-25.1140425116843,-25.4133383392949,-25.4113080537622,-25.122187526872
-175,-15.6586102961322,-15.6071295199624,-15.5997335938236,-15.6445343071798,-15.7483892977941,-15.9164712683711,-16.1521373307436,-16.4570312759853,-16.8313377111161,-17.2740857224998,-17.7833464884955,-18.35606301594,-18.9870732004775,-19.6666375747217,-20.3755467050774,-21.0771008417504,-21.707322919284,-22.1710994363878,-22.3607221917037,-22.2056935199796,-21.7209411556843,-21.00021455076,-20.1623175321919,-19.3057966107448,-18.495596095223,-17.768747494202,-17.1439850080632,-16.6292401812901,-16.2262836011667,-15.9332646325311,-15.7459272428399,-15.6580214877669,-15.6612219867782,-15.744758986018,-15.8949556306846,-16.094930530325,-16.324832688272,-16.5630367367757,-16.7885785183812,-16.9846087145051,-17.1418935843014,-17.2609219129349,-17.3515751937659,-17.4304895564893,-17.5172891168864,-17.6310333067718,-17.7876051132265,-17.9980112188135,-18.2671135586785,-18.5922201058896,-18.9611467978204,-19.3498568992352,-19.7207882020164,-20.0244999260613,-20.2081191806557,-20.2312529474276,-20.0824254897454,-19.7842045416163,-19.3826472717164,-18.9296314083749,-18.4692778345254,-18.0323893757558,-17.6366547966614,-17.2892698133557,-16.989961492623,-16.7337067647795,-16.5130776911143,-16.32029712499,-16.1490051393108,-15.9956039869203,-15.8599922700136,-15.7455748541602,-15.6586102961322
-174,-11.2079846740295,-11.1962883884008,-11.242391849071,-11.35244155857,-11.5319497143809,-11.7854341578946,-12.1162778632255,-12.5267959180678,-13.0184774049669,-13.5923365272243,-14.2492364560135,-14.9899016346366,-15.8140405960575,-16.7174363008315,-17.6848634137959,-18.675483162161,-19.5986618475073,-20.2922734296844,-20.552410873566,-20.2598634273462,-19.4918366122607,-18.4541204908047,-17.3374216174866,-16.2592135638325,-15.2767576784883,-14.4128258472416,-13.6731954011508,-13.0558615726937,-12.5553952184083,-12.1648571595892,-11.8765433783991,-11.6821801048211,-11.5728728783846,-11.5389816043439,-11.5700517753872,-11.65492651497,-11.7821550020085,-11.9407650045252,-12.1213592495693,-12.317342744268,-12.5259592028214,-12.7488033387042,-12.9916258986389,-13.2634927299432,-13.5755522599952,-13.9396931092196,-14.3672249124825,-14.8674528342491,-15.4456905418897,-16.0998704157254,-16.8145156228373,-17.5509385697069,-18.2350458631887,-18.7527977800258,-18.9758551327991,-18.8273823178278,-18.3372818440329,-17.6201370024295,-16.8041310754013,-15.9842356190428,-15.2153579028389,-14.5230071468427,-13.9149465399065,-13.3892433973611,-12.9391083719788,-12.555758264578,-12.2302213127378,-11.9545877457472,-11.7229099925487,-11.5317837853433,-11.3805742075888,-11.2712664770113,-11.2079846740295
-173,-8.57157283641912,-8.56757083000511,-8.62471948285238,-8.74898857601811,-8.94549298531629,-9.21804056608727,-9.56889589253087,-9.99876112546201,-10.5069507985183,-11.0916970396531,-11.7504397223054,-12.4797987940328,-13.2746514205879,-14.1252992581897,-15.0111408961854,-15.8890865492025,-16.6775347451679,-17.2476808166565,-17.4524851219135,-17.2096005939935,-16.5690900003227,-15.6773188566039,-14.6858525213522,-13.7010685608171,-12.7829171660622,-11.9602241013232,-11.2442278171344,-10.6369503497256,-10.1357224283471,-9.7354788015201,-9.42986677408498,-9.21173802283204,-9.07332617530206,-9.00628928193177,-9.00175349324704,-9.050483209211,-9.14328381815254,-9.27168510613166,-9.42884666544284,-9.6104987600522,-9.81564857888066,-10.0468098659254,-10.3096629899703,-10.6122468516959,-10.9639085128574,-11.3742179421395,-11.8518981922141,-12.4035702692189,-13.0317920255651,-13.7314756586966,-14.4833839798024,-15.2436724746903,-15.9316187178298,-16.4275848399892,-16.605024451263,-16.4004151238858,-15.8606150992561,-15.1085829764348,-14.2710078489534,-13.4376795369757,-12.65899029805,-11.9576792935421,-11.3401820619002,-10.8041818613222,-10.3430763246553,-9.94859779727535,-9.61245385778223,-9.32745442402387,-9.08831771752442,-8.89218937077316,-8.73884352304583,-8.63054125302469,-8.57157283641912
-172,-6.98786007988079,-6.98279536775686,-7.04102332115972,-7.16896460038964,-7.37175164221076,-7.6526090252039,-8.01247734692036,-8.44990184791491,-8.96118359417234,-9.54074992896764,-10.1816101499981,-10.8755921720174,-11.6127994755044,-12.3794310977686,-13.1529408993761,-13.8940084275334,-14.5373528011669,-14.9899561237535,-15.15232285572,-14.9670038756474,-14.4589968731844,-13.722986656717,-12.8721294162181,-11.9984356651922,-11.1621487804317,-10.3974182570539,-9.72112928591501,-9.13979407928389,-8.65394708685445,-8.26073217133565,-7.95536984216859,-7.73195133490352,-7.58381969111231,-7.50370915888759,-7.4837973854203,-7.51583590861921,-7.59151474988069,-7.70314643447412,-7.84461376776344,-8.01235689494536,-8.20607022836205,-8.42882563737358,-8.68653709817972,-8.98692472790051,-9.33827585466047,-9.74826014198559,-10.222860375687,-10.7652027378649,-11.3737639411569,-12.0391375904979,-12.7384216916072,-13.4270022483771,-14.030736577989,-14.4488495202913,-14.5828329687056,-14.3878755787125,-13.9034874133477,-13.2280520185172,-12.4666128047612,-11.6982412691984,-10.970751455831,-10.3080225585702,-9.71870370990496,-9.20266365070272,-8.75512735580467,-8.36926621555805,-8.03790189867344,-7.7547181556662,-7.51515470929483,-7.31701355191847,-7.1607380966468,-7.0493229515659,-6.98786007988079
-171,-6.17576580401488,-6.16481063987542,-6.21945606845216,-6.3471063289477,-6.55328706235466,-6.8407699566315,-7.20899775310334,-7.65386757862186,-8.16791952505158,-8.74094776875261,-9.36094684511159,-10.015078414333,-10.6900186640018,-11.3707793278601,-12.0371726320998,-12.6579123184387,-13.184483246831,-13.5506831723528,-13.6864589092193,-13.5475913535537,-13.1428772065749,-12.5330304777227,-11.8022643766151,-11.0286036612186,-10.2698495354111,-9.56297227152643,-8.92888909361044,-8.37763602096618,-7.91233984505856,-7.53193816127369,-7.23295708932555,-7.01060346607113,-6.85932771643434,-6.77298486882343,-6.74476884928645,-6.76716771959384,-6.83221048730518,-6.93218556083829,-7.06079249084679,-7.21441356298242,-7.39301316150852,-7.60023752270367,-7.84259914818392,-8.12800605931971,-8.4641028649529,-8.85682703425477,-9.30931784259252,-9.82097738094143,-10.3861704731814,-10.9918467093184,-11.6134704471237,-12.2095736180528,-12.7178944739464,-13.0603865171956,-13.1651717031905,-13.0003225403425,-12.5933317313693,-12.016242601055,-11.3515294304868,-10.6667115642547,-10.0065897564164,-9.39618570040242,-8.84659161347073,-8.36012633320826,-7.93404168666355,-7.56305133780114,-7.24110575973263,-6.96271896729946,-6.72399683228286,-6.52338909987221,-6.36210725290131,-6.24413057830737,-6.17576580401488
